"","x"
"1","SPP1"
"2","RGS1"
"3","CD69"
"4","CXCR2"
"5","VWDE"
"6","CCL8"
"7","RGS13"
"8","TNC"
"9","S100A8"
"10","MNDA"
"11","CLECL1"
"12","SSTR5-AS1"
"13","FPR3"
"14","CXCL11"
"15","FCGBP"
"16","FAP"
"17","CRTAM"
"18","GPR34"
"19","CPA3"
"20","GPR160"
"21","PENK"
"22","S100A12"
"23","FCGR1B"
"24","TPSB2"
"25","DOCK10"
"26","BCL2A1"
"27","MSR1"
"28","PLA2G7"
"29","LYZ"
"30","FCGR2C"
"31","VNN2"
"32","GPR171"
"33","TMEM200A"
"34","EVI2B"
"35","TLR7"
"36","FCGR2A"
"37","RGS18"
"38","CX3CR1"
"39","FCGR3B"
"40","NUTF2"
"41","LOC100505874"
"42","C16orf54"
"43","ALDH1A1"
"44","SERPINA3"
"45","GAPT"
"46","C1orf105"
"47","ITGA4"
"48","FCN1"
"49","CD14"
"50","HLA-DPB1"
"51","KLRB1"
"52","SYT13"
"53","TPSAB1"
"54","CD163"
"55","CLEC2B"
"56","LINC01094"
"57","DIO2"
"58","MPEG1"
"59","CEL"
"60","NET1"
"61","SLC10A4"
"62","LCP2"
"63","KRT14"
"64","HLA-DQB1"
"65","OLR1"
"66","TLR8"
"67","FCGR2B"
"68","EMILIN1"
"69","HTR2B"
"70","CD1C"
"71","TLR1"
"72","ARL11"
"73","LOC102724156"
"74","TRAT1"
"75","DNAJC14"
"76","KYNU"
"77","EVI2A"
"78","METTL7B"
"79","PLAC8"
"80","HCG11"
"81","LY96"
"82","COTL1"
"83","CCR2"
"84","HGF"
"85","HLA-DPA1"
"86","HPGDS"
"87","ATP8B4"
"88","FGD3"
"89","IGSF6"
"90","TM4SF18"
"91","HAVCR2"
"92","LINC00189"
"93","SMIM6"
"94","NQO2"
"95","THEMIS"
"96","LPAR6"
"97","CD37"
"98","AEBP1"
"99","SUSD4"
"100","C1QC"
"101","BMP7"
"102","HPGD"
"103","LILRA2"
"104","SELL"
"105","C1QB"
"106","MS4A6A"
"107","CENPW"
"108","STT3A"
"109","LINC01355"
"110","FGF18"
"111","PROK2"
"112","LRRC77P"
"113","CNTNAP3"
"114","RRAGB"
"115","FAM181B"
"116","TYROBP"
"117","CMKLR1"
"118","GOLGA8A"
"119","GIMAP2"
"120","DOCK8"
"121","ADA2"
"122","C1QA"
"123","LYVE1"
"124","SULT1C4"
"125","RUNX2"
"126","GMFG"
"127","MAFB"
"128","TREM1"
"129","CTSG"
"130","S100A9"
"131","LINC01619"
"132","C3AR1"
"133","LBH"
"134","TAF1D"
"135","ST8SIA4"
